Area	Area Id	Variable Name	Variable Id	Year	Value	Symbol
Afghanistan	2	Surface water produced internally	4155	1992	37.5	K
Afghanistan	2	Surface water produced internally	4155	1997	37.5	K
Afghanistan	2	Surface water produced internally	4155	2002	37.5	K
Afghanistan	2	Surface water produced internally	4155	2007	37.5	K
Afghanistan	2	Surface water produced internally	4155	2012	37.5	K
Afghanistan	2	Surface water produced internally	4155	2014	37.5	K
Afghanistan	2	Groundwater produced internally	4154	1992	10.65	
Afghanistan	2	Groundwater produced internally	4154	1997	10.65	
Afghanistan	2	Groundwater produced internally	4154	2002	10.65	
Afghanistan	2	Groundwater produced internally	4154	2007	10.65	
Afghanistan	2	Groundwater produced internally	4154	2012	10.65	
Afghanistan	2	Groundwater produced internally	4154	2014	10.65	
Albania	3	Surface water produced internally	4155	1992	23.05	
Albania	3	Surface water produced internally	4155	1997	23.05	
Albania	3	Surface water produced internally	4155	2002	23.05	
Albania	3	Surface water produced internally	4155	2007	23.05	
Albania	3	Surface water produced internally	4155	2012	23.05	
Albania	3	Surface water produced internally	4155	2014	23.05	
Albania	3	Groundwater produced internally	4154	1992	6.2	
Albania	3	Groundwater produced internally	4154	1997	6.2	
Albania	3	Groundwater produced internally	4154	2002	6.2	
Albania	3	Groundwater produced internally	4154	2007	6.2	
Albania	3	Groundwater produced internally	4154	2012	6.2	
Albania	3	Groundwater produced internally	4154	2014	6.2	
Algeria	4	Surface water produced internally	4155	1992	9.76	
Algeria	4	Surface water produced internally	4155	1997	9.76	
Algeria	4	Surface water produced internally	4155	2002	9.76	
Algeria	4	Surface water produced internally	4155	2007	9.76	
Algeria	4	Surface water produced internally	4155	2012	9.76	
Algeria	4	Surface water produced internally	4155	2014	9.76	
Algeria	4	Groundwater produced internally	4154	1992	1.487	
Algeria	4	Groundwater produced internally	4154	1997	1.487	
Algeria	4	Groundwater produced internally	4154	2002	1.487	
Algeria	4	Groundwater produced internally	4154	2007	1.487	
Algeria	4	Groundwater produced internally	4154	2012	1.487	
Algeria	4	Groundwater produced internally	4154	2014	1.487	
Angola	7	Surface water produced internally	4155	1992	145	
Angola	7	Surface water produced internally	4155	1997	145	
Angola	7	Surface water produced internally	4155	2002	145	
Angola	7	Surface water produced internally	4155	2007	145	
Angola	7	Surface water produced internally	4155	2012	145	
Angola	7	Surface water produced internally	4155	2014	145	
Angola	7	Groundwater produced internally	4154	1992	58	
Angola	7	Groundwater produced internally	4154	1997	58	
Angola	7	Groundwater produced internally	4154	2002	58	
Angola	7	Groundwater produced internally	4154	2007	58	
Angola	7	Groundwater produced internally	4154	2012	58	
Angola	7	Groundwater produced internally	4154	2014	58	
Argentina	9	Surface water produced internally	4155	1992	276	
Argentina	9	Surface water produced internally	4155	1997	276	
Argentina	9	Surface water produced internally	4155	2002	276	
Argentina	9	Surface water produced internally	4155	2007	276	
Argentina	9	Surface water produced internally	4155	2012	276	
Argentina	9	Surface water produced internally	4155	2014	276	
Argentina	9	Groundwater produced internally	4154	1992	128	
Argentina	9	Groundwater produced internally	4154	1997	128	
Argentina	9	Groundwater produced internally	4154	2002	128	
Argentina	9	Groundwater produced internally	4154	2007	128	
Argentina	9	Groundwater produced internally	4154	2012	128	
Argentina	9	Groundwater produced internally	4154	2014	128	
Armenia	1	Surface water produced internally	4155	1992	3.948	
Armenia	1	Surface water produced internally	4155	1997	3.948	
Armenia	1	Surface water produced internally	4155	2002	3.948	
Armenia	1	Surface water produced internally	4155	2007	3.948	
Armenia	1	Surface water produced internally	4155	2012	3.948	
Armenia	1	Surface water produced internally	4155	2014	3.948	
Armenia	1	Groundwater produced internally	4154	1992	4.311	
Armenia	1	Groundwater produced internally	4154	1997	4.311	
Armenia	1	Groundwater produced internally	4154	2002	4.311	
Armenia	1	Groundwater produced internally	4154	2007	4.311	
Armenia	1	Groundwater produced internally	4154	2012	4.311	
Armenia	1	Groundwater produced internally	4154	2014	4.311	
Australia	10	Surface water produced internally	4155	1992	440	
Australia	10	Surface water produced internally	4155	1997	440	
Australia	10	Surface water produced internally	4155	2002	440	
Australia	10	Surface water produced internally	4155	2007	440	
Australia	10	Surface water produced internally	4155	2012	440	
Australia	10	Surface water produced internally	4155	2014	440	
Australia	10	Groundwater produced internally	4154	1992	72	
Australia	10	Groundwater produced internally	4154	1997	72	
Australia	10	Groundwater produced internally	4154	2002	72	
Australia	10	Groundwater produced internally	4154	2007	72	
Australia	10	Groundwater produced internally	4154	2012	72	
Australia	10	Groundwater produced internally	4154	2014	72	
Austria	11	Surface water produced internally	4155	1992	55	
Austria	11	Surface water produced internally	4155	1997	55	
Austria	11	Surface water produced internally	4155	2002	55	
Austria	11	Surface water produced internally	4155	2007	55	
Austria	11	Surface water produced internally	4155	2012	55	
Austria	11	Surface water produced internally	4155	2014	55	
Austria	11	Groundwater produced internally	4154	1992	6	
Austria	11	Groundwater produced internally	4154	1997	6	
Austria	11	Groundwater produced internally	4154	2002	6	
Austria	11	Groundwater produced internally	4154	2007	6	
Austria	11	Groundwater produced internally	4154	2012	6	
Austria	11	Groundwater produced internally	4154	2014	6	
Azerbaijan	52	Surface water produced internally	4155	1992	5.955	
Azerbaijan	52	Surface water produced internally	4155	1997	5.955	
Azerbaijan	52	Surface water produced internally	4155	2002	5.955	
Azerbaijan	52	Surface water produced internally	4155	2007	5.955	
Azerbaijan	52	Surface water produced internally	4155	2012	5.955	
Azerbaijan	52	Surface water produced internally	4155	2014	5.955	
Azerbaijan	52	Groundwater produced internally	4154	1992	6.51	
Azerbaijan	52	Groundwater produced internally	4154	1997	6.51	
Azerbaijan	52	Groundwater produced internally	4154	2002	6.51	
Azerbaijan	52	Groundwater produced internally	4154	2007	6.51	
Azerbaijan	52	Groundwater produced internally	4154	2012	6.51	
Azerbaijan	52	Groundwater produced internally	4154	2014	6.51	
Bahrain	13	Surface water produced internally	4155	1992	0.004	
Bahrain	13	Surface water produced internally	4155	1997	0.004	
Bahrain	13	Surface water produced internally	4155	2002	0.004	
Bahrain	13	Surface water produced internally	4155	2007	0.004	
Bahrain	13	Surface water produced internally	4155	2012	0.004	
Bahrain	13	Surface water produced internally	4155	2014	0.004	
Bahrain	13	Groundwater produced internally	4154	1992	0	
Bahrain	13	Groundwater produced internally	4154	1997	0	
Bahrain	13	Groundwater produced internally	4154	2002	0	
Bahrain	13	Groundwater produced internally	4154	2007	0	
Bahrain	13	Groundwater produced internally	4154	2012	0	
Bahrain	13	Groundwater produced internally	4154	2014	0	
Bangladesh	16	Surface water produced internally	4155	1992	83.91	
Bangladesh	16	Surface water produced internally	4155	1997	83.91	
Bangladesh	16	Surface water produced internally	4155	2002	83.91	
Bangladesh	16	Surface water produced internally	4155	2007	83.91	
Bangladesh	16	Surface water produced internally	4155	2012	83.91	
Bangladesh	16	Surface water produced internally	4155	2014	83.91	
Bangladesh	16	Groundwater produced internally	4154	1992	21.09	
Bangladesh	16	Groundwater produced internally	4154	1997	21.09	
Bangladesh	16	Groundwater produced internally	4154	2002	21.09	
Bangladesh	16	Groundwater produced internally	4154	2007	21.09	
Bangladesh	16	Groundwater produced internally	4154	2012	21.09	
Bangladesh	16	Groundwater produced internally	4154	2014	21.09	
Barbados	14	Surface water produced internally	4155	1992	0.008	
Barbados	14	Surface water produced internally	4155	1997	0.008	
Barbados	14	Surface water produced internally	4155	2002	0.008	
Barbados	14	Surface water produced internally	4155	2007	0.008	
Barbados	14	Surface water produced internally	4155	2012	0.008	
Barbados	14	Surface water produced internally	4155	2014	0.008	
Barbados	14	Groundwater produced internally	4154	1992	0.074	
Barbados	14	Groundwater produced internally	4154	1997	0.074	
Barbados	14	Groundwater produced internally	4154	2002	0.074	
Barbados	14	Groundwater produced internally	4154	2007	0.074	
Barbados	14	Groundwater produced internally	4154	2012	0.074	
Barbados	14	Groundwater produced internally	4154	2014	0.074	
Belarus	57	Surface water produced internally	4155	1992	34	
Belarus	57	Surface water produced internally	4155	1997	34	
Belarus	57	Surface water produced internally	4155	2002	34	
Belarus	57	Surface water produced internally	4155	2007	34	
Belarus	57	Surface water produced internally	4155	2012	34	
Belarus	57	Surface water produced internally	4155	2014	34	
Belarus	57	Groundwater produced internally	4154	1992	15.9	
Belarus	57	Groundwater produced internally	4154	1997	15.9	
Belarus	57	Groundwater produced internally	4154	2002	15.9	
Belarus	57	Groundwater produced internally	4154	2007	15.9	
Belarus	57	Groundwater produced internally	4154	2012	15.9	
Belarus	57	Groundwater produced internally	4154	2014	15.9	
Belgium	255	Surface water produced internally	4155	1992	12	
Belgium	255	Surface water produced internally	4155	1997	12	
Belgium	255	Surface water produced internally	4155	2002	12	
Belgium	255	Surface water produced internally	4155	2007	12	
Belgium	255	Surface water produced internally	4155	2012	12	
Belgium	255	Surface water produced internally	4155	2014	12	
Belgium	255	Groundwater produced internally	4154	1992	0.9	
Belgium	255	Groundwater produced internally	4154	1997	0.9	
Belgium	255	Groundwater produced internally	4154	2002	0.9	
Belgium	255	Groundwater produced internally	4154	2007	0.9	
Belgium	255	Groundwater produced internally	4154	2012	0.9	
Belgium	255	Groundwater produced internally	4154	2014	0.9	
Belize	23	Surface water produced internally	4155	1992	15.26	
Belize	23	Surface water produced internally	4155	1997	15.26	
Belize	23	Surface water produced internally	4155	2002	15.26	
Belize	23	Surface water produced internally	4155	2007	15.26	
Belize	23	Surface water produced internally	4155	2012	15.26	
Belize	23	Surface water produced internally	4155	2014	15.26	
Belize	23	Groundwater produced internally	4154	1992	7.51	
Belize	23	Groundwater produced internally	4154	1997	7.51	
Belize	23	Groundwater produced internally	4154	2002	7.51	
Belize	23	Groundwater produced internally	4154	2007	7.51	
Belize	23	Groundwater produced internally	4154	2012	7.51	
Belize	23	Groundwater produced internally	4154	2014	7.51	
Benin	53	Surface water produced internally	4155	1992	10	
Benin	53	Surface water produced internally	4155	1997	10	
Benin	53	Surface water produced internally	4155	2002	10	
Benin	53	Surface water produced internally	4155	2007	10	
Benin	53	Surface water produced internally	4155	2012	10	
Benin	53	Surface water produced internally	4155	2014	10	
Benin	53	Groundwater produced internally	4154	1992	1.8	
Benin	53	Groundwater produced internally	4154	1997	1.8	
Benin	53	Groundwater produced internally	4154	2002	1.8	
Benin	53	Groundwater produced internally	4154	2007	1.8	
Benin	53	Groundwater produced internally	4154	2012	1.8	
Benin	53	Groundwater produced internally	4154	2014	1.8	
Bhutan	18	Surface water produced internally	4155	1992	95	
Bhutan	18	Surface water produced internally	4155	1997	81	I
Bhutan	18	Surface water produced internally	4155	2002	81	I
Bhutan	18	Surface water produced internally	4155	2007	78	I
Bhutan	18	Surface water produced internally	4155	2012	78	I
Bhutan	18	Surface water produced internally	4155	2014	78	I
Bhutan	18	Groundwater produced internally	4154	1992	9.5	I
Bhutan	18	Groundwater produced internally	4154	1997	8.1	I
Bhutan	18	Groundwater produced internally	4154	2002	8.1	I
Bhutan	18	Groundwater produced internally	4154	2007	8.1	I
Bhutan	18	Groundwater produced internally	4154	2012	8.1	I
Bhutan	18	Groundwater produced internally	4154	2014	8.1	I
Bolivia (Plurinational State of)	19	Surface water produced internally	4155	1992	277.4	
Bolivia (Plurinational State of)	19	Surface water produced internally	4155	1997	277.4	
Bolivia (Plurinational State of)	19	Surface water produced internally	4155	2002	277.4	
Bolivia (Plurinational State of)	19	Surface water produced internally	4155	2007	277.4	
Bolivia (Plurinational State of)	19	Surface water produced internally	4155	2012	277.4	
Bolivia (Plurinational State of)	19	Surface water produced internally	4155	2014	277.4	
Bolivia (Plurinational State of)	19	Groundwater produced internally	4154	1992	130	
Bolivia (Plurinational State of)	19	Groundwater produced internally	4154	1997	130	
Bolivia (Plurinational State of)	19	Groundwater produced internally	4154	2002	130	
Bolivia (Plurinational State of)	19	Groundwater produced internally	4154	2007	130	
Bolivia (Plurinational State of)	19	Groundwater produced internally	4154	2012	130	
Bolivia (Plurinational State of)	19	Groundwater produced internally	4154	2014	130	
Bosnia and Herzegovina	80	Surface water produced internally	4155	1992	34.34	I
Bosnia and Herzegovina	80	Surface water produced internally	4155	1997	34.34	I
Bosnia and Herzegovina	80	Surface water produced internally	4155	2002	34.34	I
Bosnia and Herzegovina	80	Surface water produced internally	4155	2007	34.34	I
Bosnia and Herzegovina	80	Surface water produced internally	4155	2012	34.34	I
Bosnia and Herzegovina	80	Surface water produced internally	4155	2014	34.34	I
Bosnia and Herzegovina	80	Groundwater produced internally	4154	1992	11.57	E
Bosnia and Herzegovina	80	Groundwater produced internally	4154	1997	11.57	E
Bosnia and Herzegovina	80	Groundwater produced internally	4154	2002	11.57	E
Bosnia and Herzegovina	80	Groundwater produced internally	4154	2007	11.57	E
Bosnia and Herzegovina	80	Groundwater produced internally	4154	2012	11.57	E
Bosnia and Herzegovina	80	Groundwater produced internally	4154	2014	11.57	E
Botswana	20	Surface water produced internally	4155	1992	0.8	
Botswana	20	Surface water produced internally	4155	1997	0.8	
Botswana	20	Surface water produced internally	4155	2002	0.8	
Botswana	20	Surface water produced internally	4155	2007	0.8	
Botswana	20	Surface water produced internally	4155	2012	0.8	
Botswana	20	Surface water produced internally	4155	2014	0.8	
Botswana	20	Groundwater produced internally	4154	1992	1.7	
Botswana	20	Groundwater produced internally	4154	1997	1.7	
Botswana	20	Groundwater produced internally	4154	2002	1.7	
Botswana	20	Groundwater produced internally	4154	2007	1.7	
Botswana	20	Groundwater produced internally	4154	2012	1.7	
Botswana	20	Groundwater produced internally	4154	2014	1.7	
Brazil	21	Surface water produced internally	4155	1992	5661	
Brazil	21	Surface water produced internally	4155	1997	5661	
Brazil	21	Surface water produced internally	4155	2002	5661	
Brazil	21	Surface water produced internally	4155	2007	5661	
Brazil	21	Surface water produced internally	4155	2012	5661	
Brazil	21	Surface water produced internally	4155	2014	5661	
Brazil	21	Groundwater produced internally	4154	1992	645.6	
Brazil	21	Groundwater produced internally	4154	1997	645.6	
Brazil	21	Groundwater produced internally	4154	2002	645.6	
Brazil	21	Groundwater produced internally	4154	2007	645.6	
Brazil	21	Groundwater produced internally	4154	2012	645.6	
Brazil	21	Groundwater produced internally	4154	2014	645.6	
Brunei Darussalam	26	Surface water produced internally	4155	1992	8.5	
Brunei Darussalam	26	Surface water produced internally	4155	1997	8.5	
Brunei Darussalam	26	Surface water produced internally	4155	2002	8.5	
Brunei Darussalam	26	Surface water produced internally	4155	2007	8.5	
Brunei Darussalam	26	Surface water produced internally	4155	2012	8.5	
Brunei Darussalam	26	Surface water produced internally	4155	2014	8.5	
Brunei Darussalam	26	Groundwater produced internally	4154	1992	0.1	
Brunei Darussalam	26	Groundwater produced internally	4154	1997	0.1	
Brunei Darussalam	26	Groundwater produced internally	4154	2002	0.1	
Brunei Darussalam	26	Groundwater produced internally	4154	2007	0.1	
Brunei Darussalam	26	Groundwater produced internally	4154	2012	0.1	
Brunei Darussalam	26	Groundwater produced internally	4154	2014	0.1	
Bulgaria	27	Surface water produced internally	4155	1992	20.1	
Bulgaria	27	Surface water produced internally	4155	1997	20.1	
Bulgaria	27	Surface water produced internally	4155	2002	20.1	
Bulgaria	27	Surface water produced internally	4155	2007	20.1	
Bulgaria	27	Surface water produced internally	4155	2012	20.1	
Bulgaria	27	Surface water produced internally	4155	2014	20.1	
Bulgaria	27	Groundwater produced internally	4154	1992	6.4	
Bulgaria	27	Groundwater produced internally	4154	1997	6.4	
Bulgaria	27	Groundwater produced internally	4154	2002	6.4	
Bulgaria	27	Groundwater produced internally	4154	2007	6.4	
Bulgaria	27	Groundwater produced internally	4154	2012	6.4	
Bulgaria	27	Groundwater produced internally	4154	2014	6.4	
Burkina Faso	233	Surface water produced internally	4155	1992	8	
Burkina Faso	233	Surface water produced internally	4155	1997	8	
Burkina Faso	233	Surface water produced internally	4155	2002	8	
Burkina Faso	233	Surface water produced internally	4155	2007	8	
Burkina Faso	233	Surface water produced internally	4155	2012	8	
