Country,Year,Variable,Value,Above Average,Location
Afghanistan,2014,Surface water produced internally,37.5,0,"33.7680065, 66.2385139"
Afghanistan,2014,Groundwater produced internally,10.65,0,"33.7680065, 66.2385139"
Albania,2014,Surface water produced internally,23.05,0,"11.24488255, -72.5160988093715"
Albania,2014,Groundwater produced internally,6.2,0,"11.24488255, -72.5160988093715"
Algeria,2014,Surface water produced internally,9.76,0,"28.0000272, 2.9999825"
Algeria,2014,Groundwater produced internally,1.487,0,"28.0000272, 2.9999825"
Angola,2014,Surface water produced internally,145.0,0,"-11.8775768, 17.5691241"
Angola,2014,Groundwater produced internally,58.0,0,"-11.8775768, 17.5691241"
Argentina,2014,Surface water produced internally,276.0,1,"-34.9964963, -64.9672817"
Argentina,2014,Groundwater produced internally,128.0,1,"-34.9964963, -64.9672817"
Armenia,2014,Surface water produced internally,3.948,0,"4.4922673, -75.7396253904384"
Armenia,2014,Groundwater produced internally,4.311,0,"4.4922673, -75.7396253904384"
Australia,2014,Surface water produced internally,440.0,1,"-24.7761086, 134.755"
Australia,2014,Groundwater produced internally,72.0,1,"-24.7761086, 134.755"
Austria,2014,Surface water produced internally,55.0,0,"47.2000338, 13.199959"
Austria,2014,Groundwater produced internally,6.0,0,"47.2000338, 13.199959"
Azerbaijan,2014,Surface water produced internally,5.955,0,"40.3936294, 47.7872508"
Azerbaijan,2014,Groundwater produced internally,6.51,0,"40.3936294, 47.7872508"
Bahrain,2014,Surface water produced internally,0.004,0,"35.2078012, 72.5473968"
Bahrain,2014,Groundwater produced internally,0.0,0,"35.2078012, 72.5473968"
Bangladesh,2014,Surface water produced internally,83.91,0,"24.4768783, 90.2932426"
Bangladesh,2014,Groundwater produced internally,21.09,0,"24.4768783, 90.2932426"
Barbados,2014,Surface water produced internally,0.008,0,"13.1500331, -59.5250305"
Barbados,2014,Groundwater produced internally,0.074,0,"13.1500331, -59.5250305"
Belarus,2014,Surface water produced internally,34.0,0,"53.4250605, 27.6971358"
Belarus,2014,Groundwater produced internally,15.9,0,"53.4250605, 27.6971358"
Belgium,2014,Surface water produced internally,12.0,0,"50.6407351, 4.66696"
Belgium,2014,Groundwater produced internally,0.9,0,"50.6407351, 4.66696"
Belize,2014,Surface water produced internally,15.26,0,"16.8259793, -88.7600927"
Belize,2014,Groundwater produced internally,7.51,0,"16.8259793, -88.7600927"
Benin,2014,Surface water produced internally,10.0,0,"6.3330586, 5.6221058"
Benin,2014,Groundwater produced internally,1.8,0,"6.3330586, 5.6221058"
Bhutan,2014,Surface water produced internally,78.0,0,"27.549511, 90.5119273"
Bhutan,2014,Groundwater produced internally,8.1,0,"27.549511, 90.5119273"
Bolivia (Plurinational State of),2014,Surface water produced internally,277.4,1,"52.0893477, 4.3056907"
Bolivia (Plurinational State of),2014,Groundwater produced internally,130.0,1,"52.0893477, 4.3056907"
Bosnia and Herzegovina,2014,Surface water produced internally,34.34,0,"44.3053476, 17.5961467"
Bosnia and Herzegovina,2014,Groundwater produced internally,11.57,0,"44.3053476, 17.5961467"
Botswana,2014,Surface water produced internally,0.8,0,"-23.1681782, 24.5928742"
Botswana,2014,Groundwater produced internally,1.7,0,"-23.1681782, 24.5928742"
Brazil,2014,Surface water produced internally,5661.0,1,"-10.3333333, -53.2"
Brazil,2014,Groundwater produced internally,645.6,1,"-10.3333333, -53.2"
Brunei Darussalam,2014,Surface water produced internally,8.5,0,"4.4137155, 114.5653908"
Brunei Darussalam,2014,Groundwater produced internally,0.1,0,"4.4137155, 114.5653908"
Bulgaria,2014,Surface water produced internally,20.1,0,"42.6073975, 25.4856617"
Bulgaria,2014,Groundwater produced internally,6.4,0,"42.6073975, 25.4856617"
Burkina Faso,2014,Surface water produced internally,8.0,0,"12.0753083, -1.6880314"
Burkina Faso,2014,Groundwater produced internally,9.5,0,"12.0753083, -1.6880314"
Burundi,2014,Surface water produced internally,10.06,0,"-3.3634357, 29.8870575"
Burundi,2014,Groundwater produced internally,7.47,0,"-3.3634357, 29.8870575"
Cabo Verde,2014,Surface water produced internally,0.181,0,"16.0000552, -24.0083947"
Cabo Verde,2014,Groundwater produced internally,0.124,0,"16.0000552, -24.0083947"
Cambodia,2014,Surface water produced internally,116.0,0,"13.5066394, 104.869423"
Cambodia,2014,Groundwater produced internally,17.6,0,"13.5066394, 104.869423"
Cameroon,2014,Surface water produced internally,268.0,1,"4.6125522, 13.1535811"
Cameroon,2014,Groundwater produced internally,100.0,1,"4.6125522, 13.1535811"
Canada,2014,Surface water produced internally,2840.0,1,"61.0666922, -107.9917071"
Canada,2014,Groundwater produced internally,370.0,1,"61.0666922, -107.9917071"
Central African Republic,2014,Surface water produced internally,141.0,0,"25.2183959, 55.1752385762154"
Central African Republic,2014,Groundwater produced internally,56.0,0,"25.2183959, 55.1752385762154"
Chad,2014,Surface water produced internally,13.5,0,"15.6134137, 19.0156172"
Chad,2014,Groundwater produced internally,11.5,0,"15.6134137, 19.0156172"
Chile,2014,Surface water produced internally,885.0,1,"-31.7613365, -71.3187697"
Chile,2014,Groundwater produced internally,140.0,1,"-31.7613365, -71.3187697"
China,2014,Surface water produced internally,2712.0,1,"25.4915799, -98.9811115045569"
China,2014,Groundwater produced internally,828.8,1,"25.4915799, -98.9811115045569"
Colombia,2014,Surface water produced internally,2145.0,1,"2.8894434, -73.783892"
Colombia,2014,Groundwater produced internally,510.0,1,"2.8894434, -73.783892"
Comoros,2014,Surface water produced internally,0.2,0,"-12.2045176, 44.2832964"
Comoros,2014,Groundwater produced internally,1.0,0,"-12.2045176, 44.2832964"
Congo,2014,Surface water produced internally,222.0,0,"-0.7264327, 15.6419155"
Congo,2014,Groundwater produced internally,122.0,1,"-0.7264327, 15.6419155"
Costa Rica,2014,Surface water produced internally,113.0,0,"10.2735633, -84.0739102"
Costa Rica,2014,Groundwater produced internally,37.31,0,"10.2735633, -84.0739102"
Côte d'Ivoire,2014,Surface water produced internally,74.0,0,"7.9897371, -5.5679458"
Côte d'Ivoire,2014,Groundwater produced internally,37.84,0,"7.9897371, -5.5679458"
Croatia,2014,Surface water produced internally,27.2,0,"45.5643442, 17.0118954"
Croatia,2014,Groundwater produced internally,11.0,0,"45.5643442, 17.0118954"
Cuba,2014,Surface water produced internally,31.64,0,"23.0131338, -80.8328748"
Cuba,2014,Groundwater produced internally,6.48,0,"23.0131338, -80.8328748"
Cyprus,2014,Surface water produced internally,0.56,0,"34.9823018, 33.1451285"
Cyprus,2014,Groundwater produced internally,0.41,0,"34.9823018, 33.1451285"
Czechia,2014,Surface water produced internally,13.15,0,"49.8167003, 15.4749544"
Czechia,2014,Groundwater produced internally,1.43,0,"49.8167003, 15.4749544"
Democratic People's Republic of Korea,2014,Surface water produced internally,66.0,0,"40.3736611, 127.0870417"
Democratic People's Republic of Korea,2014,Groundwater produced internally,13.0,0,"40.3736611, 127.0870417"
Democratic Republic of the Congo,2014,Surface water produced internally,899.0,1,"-15.4139213, 28.289698"
Democratic Republic of the Congo,2014,Groundwater produced internally,421.0,1,"-15.4139213, 28.289698"
Denmark,2014,Surface water produced internally,3.7,0,"55.670249, 10.3333283"
Denmark,2014,Groundwater produced internally,4.3,0,"55.670249, 10.3333283"
Djibouti,2014,Surface water produced internally,0.3,0,"11.85677545, 42.7577845199437"
Djibouti,2014,Groundwater produced internally,0.015,0,"11.85677545, 42.7577845199437"
Dominican Republic,2014,Surface water produced internally,23.5,0,"19.0974031, -70.3028026"
Dominican Republic,2014,Groundwater produced internally,4.161,0,"19.0974031, -70.3028026"
Ecuador,2014,Surface water produced internally,432.0,1,"-1.3397668, -79.3666965"
Ecuador,2014,Groundwater produced internally,134.0,1,"-1.3397668, -79.3666965"
Egypt,2014,Surface water produced internally,0.5,0,"26.2540493, 29.2675469"
Egypt,2014,Groundwater produced internally,1.3,0,"26.2540493, 29.2675469"
El Salvador,2014,Surface water produced internally,12.05,0,"13.8000382, -88.9140683"
